tconst	averageRating	numVotes
tt0000001	5.6	1546
tt0000002	6.1	187
tt0000005	6.1	1931
tt0000006	5.2	102
tt0000007	5.5	615
tt0000008	5.4	1661
tt0000009	5.4	81
tt0000010	6.9	5535
tt0000012	7.4	9420
tt0000013	5.7	1444
tt0000014	7.1	4107
tt0000015	6.1	738
tt0000022	5.1	805
tt0000023	5.6	1025
tt0000026	5.7	1231
tt0000027	5.5	847
tt0000028	5.1	778
tt0000029	5.9	2633
tt0000031	5.5	751
tt0000033	5.5	789
tt0000035	5.7	51
tt0000036	4.5	452
tt0000037	4.6	39
tt0000038	4.1	136
tt0000040	4.1	35
tt0000041	6.6	1310
tt0000045	4.4	16
tt0000050	4.2	14
tt0000051	3.9	12
tt0000054	5.2	17
tt0000059	3.7	11
tt0000060	7.8	60
tt0000067	5.8	39
tt0000068	4	11
tt0000069	4.9	319
tt0000070	6.4	2081
tt0000071	3.7	14
tt0000072	4.2	13
tt0000075	6.3	1403
tt0000076	4.5	394
tt0000081	4.1	14
tt0000082	4.9	22
tt0000085	4.8	16
tt0000086	4.1	14
tt0000087	4.8	17
tt0000088	4.7	14
tt0000091	6.7	2501
tt0000095	4.8	18
tt0000097	4.9	17
tt0000098	5.5	18
tt0000102	4.8	12
tt0000103	5.8	13
tt0000105	5.4	13
tt0000107	5.6	12
tt0000108	4.4	406
tt0000109	4.6	399
tt0000110	4.4	405
tt0000111	4.5	414
tt0000112	4.5	399
tt0000113	4.4	419
tt0000114	5.5	14
tt0000119	5.8	23
tt0000120	5.8	25
tt0000122	5.5	13
tt0000123	5.6	62
tt0000128	5.9	22
tt0000129	6.8	32
tt0000135	6.9	49
tt0000138	6.5	753
tt0000142	4.7	10
tt0000147	5.1	308
tt0000149	4.9	9
tt0000152	6.1	153
tt0000155	4.9	12
tt0000159	5.4	54
tt0000173	4.8	16
tt0000177	4.6	174
tt0000178	5.5	75
tt0000179	4.4	18
tt0000184	4.9	235
tt0000192	4.4	124
tt0000208	5.7	441
tt0000210	5.2	14
tt0000211	7.5	3037
tt0000214	4.7	52
tt0000225	5.4	17
tt0000228	4.9	192
tt0000229	4.6	69
tt0000230	6.5	1215
tt0000234	6.1	33
tt0000235	6.3	500
tt0000240	4.4	46
tt0000242	6.3	799
tt0000245	6.8	20
tt0000246	6.4	855
tt0000247	4.9	367
tt0000248	6	1191
tt0000256	4.6	116
tt0000261	5.9	43
tt0000264	5.7	320
tt0000265	4.6	92
tt0000272	5.6	624
tt0000278	6.2	5
tt0000279	5.4	5
tt0000280	5.2	6
tt0000281	6	6
tt0000284	5.4	158
tt0000286	5.7	152
